strategy,row_id,expected_case,expected_inputs
hierarchical,00d365989b09585d,Exec/DevTests/Tornado,Exec/DevTests/Tornado/inputs_tornado_wrf_files_PBL_Smag2d
hierarchical,019b835399b503b4,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_gaussian
hierarchical,02b7f52302fe6ed9,Exec/ABL,Exec/ABL/inputs_deardorff_no_msf
hierarchical,044aa002dd4dfd20,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs
hierarchical,097d4e7bc5c12639,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_fft
hierarchical,0a50784987204f69,Exec/ABL,Exec/ABL/inputs_smagorinsky_msf
hierarchical,100a3848527bbcf1,Exec/DevTests/WindFarmTests/SingleTurbine/Fitch,Exec/DevTests/WindFarmTests/SingleTurbine/Fitch/inputs_1WT_x_y_Fitch
hierarchical,16cafaa8bd6cb4c7,Exec/DevTests/Hurricane,Exec/DevTests/Hurricane/inputs_20210819_Henri_NoAMR
hierarchical,1d6f3de1dc69721c,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs_EB_twolevel
hierarchical,2b0066345c5861a3,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_sine
hierarchical,2cffa38307036698,Exec/CanonicalFlows/Channel_DNS,Exec/CanonicalFlows/Channel_DNS/inputs_channel
hierarchical,33406d89e7d13ec8,Exec/ABL,Exec/ABL/inputs_GABLS1_deardorff
hierarchical,35a4886cbb0b6d7a,Exec/ABL,Exec/ABL/inputs_smagorinsky_msf
hierarchical,36ee01b9e53ba413,Exec/ABL,Exec/ABL/inputs.read
hierarchical,39df8cb2bf580e53,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_fft
hierarchical,3fefb88b407d4111,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_advdiffinflowoutflow
hierarchical,40a94c16e74baa8b,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_FittedMesh
hierarchical,436a11512a1422de,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_static_twolevel
