row_id,strategy,category,wave_id,target_case_relpath,target_inputs_relpath,observed_solver,observed_selected_case,observed_selected_inputs,case_match,inputs_match,row_score,console_entries,max_attempt,total_rate_limit_retries,last_attempt_rate_limit_retries,last_run_directory
00d365989b09585d,simple,DevTests,wave1,Exec/DevTests/Tornado,Exec/DevTests/Tornado/inputs_tornado_wrf_files_PBL_Smag2d,ERF,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_multilevel,0,0,0.0,1,1,4,4,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_145050_218128"
019b835399b503b4,simple,RegTests,wave1,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_gaussian,ERF,Exec/ABL,Exec/ABL/inputs_deardorff,0,0,0.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_145112_726412"
02b7f52302fe6ed9,simple,ABL,wave0,Exec/ABL,Exec/ABL/inputs_deardorff_no_msf,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_no_msf,1,1,1.0,1,1,3,3,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_145925_874062"
044aa002dd4dfd20,simple,RegTests,wave1,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_y,0,0,0.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_145949_744035"
097d4e7bc5c12639,simple,CanonicalFlows,wave1,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_fft,ERF,__FAILED_ROW__,__FAILED_ROW__,0,0,0.0,3,3,15,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_154227_471081"
0a50784987204f69,simple,ABL,wave2,Exec/ABL,Exec/ABL/inputs_smagorinsky_msf,ERF,Exec/ABL,Exec/ABL/inputs_smagorinsky,1,0,0.7,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_154247_849663"
100a3848527bbcf1,simple,DevTests,wave1,Exec/DevTests/WindFarmTests/SingleTurbine/Fitch,Exec/DevTests/WindFarmTests/SingleTurbine/Fitch/inputs_1WT_x_y_Fitch,ERF,Exec/DevTests/WindFarmTests/SingleTurbine/Fitch,Exec/DevTests/WindFarmTests/SingleTurbine/Fitch/inputs_1WT_x_y_Fitch,1,1,1.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_155613_238069"
16cafaa8bd6cb4c7,simple,DevTests,wave1,Exec/DevTests/Hurricane,Exec/DevTests/Hurricane/inputs_20210819_Henri_NoAMR,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_y,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_160646_698130"
1d6f3de1dc69721c,simple,RegTests,wave0,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs_EB_twolevel,ERF,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_poiseuille_x,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_161504_915488"
2b0066345c5861a3,simple,RegTests,wave2,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_sine,ERF,Exec/ABL,Exec/ABL/inputs_deardorff_msf,0,0,0.0,1,1,1,1,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_161656_967239"
2cffa38307036698,simple,CanonicalFlows,wave1,Exec/CanonicalFlows/Channel_DNS,Exec/CanonicalFlows/Channel_DNS/inputs_channel,ERF,Exec/ABL,Exec/ABL/inputs_deardorff,0,0,0.0,1,1,5,5,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_163215_307420"
33406d89e7d13ec8,simple,ABL,wave1,Exec/ABL,Exec/ABL/inputs_GABLS1_deardorff,ERF,Exec/ABL,Exec/ABL/inputs_GABLS1_deardorff,1,1,1.0,1,1,0,0,"results/track2/wave1_simple_20260313_144401/simple/run_20260313_163232_830937"
