strategy,row_id,stage,purpose,correctness_score,generalizability_score,explainability_score,fail_reasons
simple,00d365989b09585d,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,00d365989b09585d,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,019b835399b503b4,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,019b835399b503b4,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,044aa002dd4dfd20,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,044aa002dd4dfd20,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,097d4e7bc5c12639,architect,solver_baseline_selection,0.0,0.0,0.0,"['case_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,097d4e7bc5c12639,input_writer,inputs_selection,0.0,0.0,0.0,"['inputs_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,0a50784987204f69,input_writer,inputs_selection,0.0,0.6,0.18,"['inputs_mismatch', 'warn_signal', 'literal_case_in_prompt']"
simple,16cafaa8bd6cb4c7,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,16cafaa8bd6cb4c7,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,1d6f3de1dc69721c,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,1d6f3de1dc69721c,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,2b0066345c5861a3,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,2b0066345c5861a3,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,2cffa38307036698,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,2cffa38307036698,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,35a4886cbb0b6d7a,input_writer,inputs_selection,0.0,0.6,0.18,"['inputs_mismatch', 'warn_signal', 'literal_case_in_prompt']"
simple,39df8cb2bf580e53,architect,solver_baseline_selection,0.0,0.0,0.0,"['case_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,39df8cb2bf580e53,input_writer,inputs_selection,0.0,0.0,0.0,"['inputs_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,3fefb88b407d4111,architect,solver_baseline_selection,0.0,0.0,0.0,"['case_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,3fefb88b407d4111,input_writer,inputs_selection,0.0,0.0,0.0,"['inputs_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,40a94c16e74baa8b,architect,solver_baseline_selection,0.0,0.0,0.0,"['case_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,40a94c16e74baa8b,input_writer,inputs_selection,0.0,0.0,0.0,"['inputs_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,436a11512a1422de,architect,solver_baseline_selection,0.0,0.0,0.0,"['case_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,436a11512a1422de,input_writer,inputs_selection,0.0,0.0,0.0,"['inputs_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,451e42f7895b87e8,architect,solver_baseline_selection,0.0,0.0,0.0,"['case_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,451e42f7895b87e8,input_writer,inputs_selection,0.0,0.0,0.0,"['inputs_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,499f1b2839a700fd,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,499f1b2839a700fd,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,4a28e05d7ad8dddc,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
