strategy,row_id,expected_case,expected_inputs
simple,00d365989b09585d,Exec/DevTests/Tornado,Exec/DevTests/Tornado/inputs_tornado_wrf_files_PBL_Smag2d
simple,019b835399b503b4,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_gaussian
simple,044aa002dd4dfd20,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs
simple,097d4e7bc5c12639,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_fft
simple,0a50784987204f69,Exec/ABL,Exec/ABL/inputs_smagorinsky_msf
simple,16cafaa8bd6cb4c7,Exec/DevTests/Hurricane,Exec/DevTests/Hurricane/inputs_20210819_Henri_NoAMR
simple,1d6f3de1dc69721c,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs_EB_twolevel
simple,2b0066345c5861a3,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_sine
simple,2cffa38307036698,Exec/CanonicalFlows/Channel_DNS,Exec/CanonicalFlows/Channel_DNS/inputs_channel
simple,35a4886cbb0b6d7a,Exec/ABL,Exec/ABL/inputs_smagorinsky_msf
simple,39df8cb2bf580e53,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_fft
simple,3fefb88b407d4111,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_advdiffinflowoutflow
simple,40a94c16e74baa8b,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_FittedMesh
simple,436a11512a1422de,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_static_twolevel
simple,451e42f7895b87e8,Exec/RegTests/ParticleTests,Exec/RegTests/ParticleTests/inputs_over_hill
simple,499f1b2839a700fd,Exec/RegTests/Terrain2d_Cylinder,Exec/RegTests/Terrain2d_Cylinder/inputs_stretched_z_levels
simple,4a28e05d7ad8dddc,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_multilevel
simple,4c2e15c7a2b1807e,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_advect_shearU_no_msf
simple,50fc59087cc65e41,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_refsoln
simple,5502d952a197e044,Exec/DevTests/DataAssimilation,Exec/DevTests/DataAssimilation/inputs_advecting_coarse
simple,58ac9ebd5dbe5287,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_gaussian
simple,5a5b55bd50b2195b,Exec/DevTests/Tornado,Exec/DevTests/Tornado/inputs_tornado
simple,5b7211868a6fc7bd,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_FittedMesh
simple,5bd21f3859c1c7ea,Exec/ABL/Scaling/Perlmutter,Exec/ABL/Scaling/Perlmutter/inputs_smagorinsky_StrongScaling
simple,5d36bcbbb3955583,Exec/RegTests/WitchOfAgnesi,Exec/RegTests/WitchOfAgnesi/inputs_EB_anelastic
simple,5d6d8a3e782072e0,Exec/ABL/MYNN_Debug,Exec/ABL/MYNN_Debug/inputs_most_mynnedmf
simple,5dec9fb84c6b48e4,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_advect_shearU_msf
simple,6037371246cbeaf9,Exec/ABL,Exec/ABL/inputs_most_msf
simple,61440a7571417cab,Exec/RegTests/ImmersedForcingTest,Exec/RegTests/ImmersedForcingTest/inputs_if_terrain_plusBuilding
simple,625ddcabb2d84b45,Exec/CanonicalFlows/Real_Terrain/Askervein,Exec/CanonicalFlows/Real_Terrain/Askervein/inputs_anel
simple,650ab438a4e15aa5,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_y
simple,661578fbae6c6c98,Exec/RegTests/MetGrid,Exec/RegTests/MetGrid/inputs_metgrid
simple,6679b106b67a72c7,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_crse_halfdomain
simple,67d45fafd496e5e1,Exec/DevTests/TropicalCyclone,Exec/DevTests/TropicalCyclone/inputs
simple,683f741d537d6446,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_fft
simple,6861a4cd9e823196,Exec/ABL/column_diffusion_test,Exec/ABL/column_diffusion_test/inputs_sfclay
simple,6d64255a9f75b7f0,Exec/ABL/Scaling/Aurora,Exec/ABL/Scaling/Aurora/inputs_smagorinsky_WeakScaling
simple,79451bce1b25f5b5,Exec/RegTests/MovingTerrain,Exec/RegTests/MovingTerrain/inputs
simple,79c27203548041a9,Exec/CanonicalFlows/Real_Terrain/Askervein,Exec/CanonicalFlows/Real_Terrain/Askervein/inputs_anel
simple,79e1a7439abda7e0,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_hybrid_zlev
simple,83e8394891c2b4f5,Exec/CanonicalFlows/EkmanSpiral,Exec/CanonicalFlows/EkmanSpiral/inputs_ideal
simple,83fe4a2b485cd186,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_no_msf
simple,882f54a5e0b15e95,Exec/RegTests/IsentropicVortex,Exec/RegTests/IsentropicVortex/inputs_advecting_no_msf
simple,8910adb5f9352180,Exec/DevTests/Shoc,Exec/DevTests/Shoc/inputs_shoc
simple,89daffe9760ad84b,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_WENO
simple,8db27d1f4b0ecf8d,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_ml
simple,8f2c280dffb509c9,Exec/ABL/Scaling/Perlmutter,Exec/ABL/Scaling/Perlmutter/inputs_smagorinsky_WeakScaling
simple,8f7ccf0243473c24,Exec/RegTests/ParticleTests,Exec/RegTests/ParticleTests/inputs_over_hill
