strategy,row_id,stage,purpose,correctness_score,generalizability_score,explainability_score,fail_reasons
hierarchical,abl_neutral_wave_phys0,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,abl_neutral_wave_phys0,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,abl_neutral_wave_phys0,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,abl_neutral_wave_phys1,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,abl_neutral_wave_phys1,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,abl_neutral_wave_phys1,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,abl_neutral_wave_phys2,architect,solver_baseline_selection,0.0,0.4,0.12,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,abl_neutral_wave_phys2,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,abl_neutral_wave_phys3,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,abl_neutral_wave_phys3,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,density_current_straka_wave_phys0,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,density_current_straka_wave_phys0,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,density_current_straka_wave_phys0,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,density_current_straka_wave_phys1,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,density_current_straka_wave_phys1,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,density_current_straka_wave_phys2,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,density_current_straka_wave_phys2,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,density_current_straka_wave_phys2,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,density_current_straka_wave_phys3,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,density_current_straka_wave_phys3,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,ekman_spiral_wave_phys0,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,ekman_spiral_wave_phys0,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,ekman_spiral_wave_phys0,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,ekman_spiral_wave_phys1,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,ekman_spiral_wave_phys1,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,ekman_spiral_wave_phys1,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,ekman_spiral_wave_phys2,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,ekman_spiral_wave_phys2,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,ekman_spiral_wave_phys2,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,ekman_spiral_wave_phys3,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,ekman_spiral_wave_phys3,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,ekman_spiral_wave_phys3,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,taylor_green_vortex_wave_phys0,architect,solver_baseline_selection,0.0,0.4,0.12,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'error_signal']"
hierarchical,taylor_green_vortex_wave_phys0,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
hierarchical,taylor_green_vortex_wave_phys1,architect,solver_baseline_selection,0.0,0.0,0.0,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable']"
hierarchical,taylor_green_vortex_wave_phys1,input_writer,inputs_selection,0.0,0.0,0.0,"['inputs_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable']"
hierarchical,taylor_green_vortex_wave_phys2,architect,solver_baseline_selection,0.0,0.4,0.12,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'error_signal']"
