strategy,row_id,expected_case,expected_inputs
hierarchical,abl_neutral_wave_phys0,Exec/CanonicalFlows/Canonical_LES/Neutral_ABL,Exec/CanonicalFlows/Canonical_LES/Neutral_ABL/inputs_anelastic
hierarchical,abl_neutral_wave_phys1,Exec/CanonicalFlows/Canonical_LES/Neutral_ABL,Exec/CanonicalFlows/Canonical_LES/Neutral_ABL/inputs_anelastic
hierarchical,abl_neutral_wave_phys2,Exec/CanonicalFlows/Canonical_LES/Neutral_ABL,Exec/CanonicalFlows/Canonical_LES/Neutral_ABL/inputs_anelastic
hierarchical,abl_neutral_wave_phys3,Exec/CanonicalFlows/Canonical_LES/Neutral_ABL,Exec/CanonicalFlows/Canonical_LES/Neutral_ABL/inputs_anelastic
hierarchical,density_current_straka_wave_phys0,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_wrf_baseline
hierarchical,density_current_straka_wave_phys1,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_wrf_baseline
hierarchical,density_current_straka_wave_phys2,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_wrf_baseline
hierarchical,density_current_straka_wave_phys3,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_wrf_baseline
hierarchical,ekman_spiral_wave_phys0,Exec/CanonicalFlows/EkmanSpiral,Exec/CanonicalFlows/EkmanSpiral/inputs_custom
hierarchical,ekman_spiral_wave_phys1,Exec/CanonicalFlows/EkmanSpiral,Exec/CanonicalFlows/EkmanSpiral/inputs_custom
hierarchical,ekman_spiral_wave_phys2,Exec/CanonicalFlows/EkmanSpiral,Exec/CanonicalFlows/EkmanSpiral/inputs_custom
hierarchical,ekman_spiral_wave_phys3,Exec/CanonicalFlows/EkmanSpiral,Exec/CanonicalFlows/EkmanSpiral/inputs_custom
hierarchical,taylor_green_vortex_wave_phys0,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_advdiff
hierarchical,taylor_green_vortex_wave_phys1,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_advdiff
hierarchical,taylor_green_vortex_wave_phys2,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_advdiff
hierarchical,taylor_green_vortex_wave_phys3,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_advdiff
hierarchical,couette_poiseuille_wave_phys0,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_x
hierarchical,couette_poiseuille_wave_phys1,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_x
hierarchical,couette_poiseuille_wave_phys2,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_x
hierarchical,couette_poiseuille_wave_phys3,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_x
hierarchical,isentropic_vortex_wave_phys0,Exec/RegTests/IsentropicVortex,Exec/RegTests/IsentropicVortex/inputs_advecting
hierarchical,isentropic_vortex_wave_phys1,Exec/RegTests/IsentropicVortex,Exec/RegTests/IsentropicVortex/inputs_advecting
hierarchical,isentropic_vortex_wave_phys2,Exec/RegTests/IsentropicVortex,Exec/RegTests/IsentropicVortex/inputs_advecting
hierarchical,isentropic_vortex_wave_phys3,Exec/RegTests/IsentropicVortex,Exec/RegTests/IsentropicVortex/inputs_advecting
hierarchical,scalar_adv_diff_wave_phys0,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_adv_diff_uniformU
hierarchical,scalar_adv_diff_wave_phys1,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_adv_diff_uniformU
hierarchical,scalar_adv_diff_wave_phys2,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_adv_diff_uniformU
hierarchical,scalar_adv_diff_wave_phys3,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_adv_diff_uniformU
hierarchical,bomex_shallow_cumulus_wave_phys0,Exec/CanonicalFlows/Bomex,Exec/CanonicalFlows/Bomex/input_Kessler
hierarchical,bomex_shallow_cumulus_wave_phys1,Exec/CanonicalFlows/Bomex,Exec/CanonicalFlows/Bomex/input_Kessler
hierarchical,bomex_shallow_cumulus_wave_phys2,Exec/CanonicalFlows/Bomex,Exec/CanonicalFlows/Bomex/input_Kessler
hierarchical,bomex_shallow_cumulus_wave_phys3,Exec/CanonicalFlows/Bomex,Exec/CanonicalFlows/Bomex/input_Kessler
