strategy,row_id,expected_case,expected_inputs
simple,taylor_green_vortex_wave_phys0,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_advdiff
simple,taylor_green_vortex_wave_phys1,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_advdiff
simple,taylor_green_vortex_wave_phys2,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_advdiff
simple,taylor_green_vortex_wave_phys3,Exec/RegTests/TaylorGreenVortex,Exec/RegTests/TaylorGreenVortex/inputs_advdiff
simple,couette_poiseuille_wave_phys0,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_x
simple,couette_poiseuille_wave_phys1,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_x
simple,couette_poiseuille_wave_phys3,Exec/RegTests/Couette_Poiseuille,Exec/RegTests/Couette_Poiseuille/inputs_couette_x
simple,isentropic_vortex_wave_phys0,Exec/RegTests/IsentropicVortex,Exec/RegTests/IsentropicVortex/inputs_advecting
simple,isentropic_vortex_wave_phys2,Exec/RegTests/IsentropicVortex,Exec/RegTests/IsentropicVortex/inputs_advecting
simple,isentropic_vortex_wave_phys3,Exec/RegTests/IsentropicVortex,Exec/RegTests/IsentropicVortex/inputs_advecting
simple,scalar_adv_diff_wave_phys3,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_adv_diff_uniformU
simple,bomex_shallow_cumulus_wave_phys0,Exec/CanonicalFlows/Bomex,Exec/CanonicalFlows/Bomex/input_Kessler
simple,bomex_shallow_cumulus_wave_phys1,Exec/CanonicalFlows/Bomex,Exec/CanonicalFlows/Bomex/input_Kessler
simple,bomex_shallow_cumulus_wave_phys2,Exec/CanonicalFlows/Bomex,Exec/CanonicalFlows/Bomex/input_Kessler
simple,bomex_shallow_cumulus_wave_phys3,Exec/CanonicalFlows/Bomex,Exec/CanonicalFlows/Bomex/input_Kessler
