strategy,row_id,stage,purpose,correctness_score,generalizability_score,explainability_score,fail_reasons
simple,abl_neutral_wave_phys0,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
simple,abl_neutral_wave_phys0,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
simple,density_current_straka_wave_phys0,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
simple,ekman_spiral_wave_phys0,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
simple,taylor_green_vortex_wave_phys0,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
simple,taylor_green_vortex_wave_phys0,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
simple,couette_poiseuille_wave_phys0,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
simple,isentropic_vortex_wave_phys0,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
simple,isentropic_vortex_wave_phys0,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
simple,scalar_adv_diff_wave_phys0,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
simple,scalar_adv_diff_wave_phys0,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
simple,bomex_shallow_cumulus_wave_phys0,architect,solver_baseline_selection,0.0,0.4,0.12,"['case_mismatch', 'warn_signal', 'error_signal']"
simple,bomex_shallow_cumulus_wave_phys0,input_writer,inputs_selection,0.0,0.4,0.12,"['inputs_mismatch', 'warn_signal', 'error_signal']"
