strategy,row_id,stage,purpose,correctness_score,generalizability_score,explainability_score,fail_reasons
simple,00d365989b09585d,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,00d365989b09585d,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,019b835399b503b4,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,019b835399b503b4,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,044aa002dd4dfd20,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,044aa002dd4dfd20,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,097d4e7bc5c12639,architect,solver_baseline_selection,0.0,0.0,0.0,"['case_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,097d4e7bc5c12639,input_writer,inputs_selection,0.0,0.0,0.0,"['inputs_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,0a50784987204f69,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,16cafaa8bd6cb4c7,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,16cafaa8bd6cb4c7,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,1d6f3de1dc69721c,architect,solver_baseline_selection,0.0,0.2,0.06,"['case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,1d6f3de1dc69721c,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
simple,2b0066345c5861a3,architect,solver_baseline_selection,0.0,0.0,0.0,"['case_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
simple,2b0066345c5861a3,input_writer,inputs_selection,0.0,0.0,0.0,"['inputs_mismatch', 'warn_signal', 'error_signal', 'llm_unavailable', 'literal_case_in_prompt']"
hierarchical,00d365989b09585d,architect,solver_baseline_selection,0.0,0.2,0.06,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,00d365989b09585d,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,019b835399b503b4,architect,solver_baseline_selection,0.0,0.2,0.06,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,019b835399b503b4,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,02b7f52302fe6ed9,architect,solver_baseline_selection,0.0,0.2,0.06,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,02b7f52302fe6ed9,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,044aa002dd4dfd20,architect,solver_baseline_selection,0.0,0.2,0.06,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,044aa002dd4dfd20,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,097d4e7bc5c12639,architect,solver_baseline_selection,0.0,0.2,0.06,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,097d4e7bc5c12639,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,0a50784987204f69,architect,solver_baseline_selection,0.0,0.2,0.06,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,0a50784987204f69,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,100a3848527bbcf1,architect,solver_baseline_selection,0.0,0.2,0.06,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,100a3848527bbcf1,input_writer,inputs_selection,0.0,0.2,0.06,"['inputs_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
hierarchical,16cafaa8bd6cb4c7,architect,solver_baseline_selection,0.0,0.2,0.06,"['solver_mismatch', 'case_mismatch', 'warn_signal', 'error_signal', 'literal_case_in_prompt']"
