strategy,row_id,expected_case,expected_inputs
simple,00d365989b09585d,Exec/DevTests/Tornado,Exec/DevTests/Tornado/inputs_tornado_wrf_files_PBL_Smag2d
simple,019b835399b503b4,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_gaussian
simple,044aa002dd4dfd20,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs
simple,097d4e7bc5c12639,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_fft
simple,0a50784987204f69,Exec/ABL,Exec/ABL/inputs_smagorinsky_msf
simple,16cafaa8bd6cb4c7,Exec/DevTests/Hurricane,Exec/DevTests/Hurricane/inputs_20210819_Henri_NoAMR
simple,1d6f3de1dc69721c,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs_EB_twolevel
simple,2b0066345c5861a3,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_sine
hierarchical,00d365989b09585d,Exec/DevTests/Tornado,Exec/DevTests/Tornado/inputs_tornado_wrf_files_PBL_Smag2d
hierarchical,019b835399b503b4,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_gaussian
hierarchical,02b7f52302fe6ed9,Exec/ABL,Exec/ABL/inputs_deardorff_no_msf
hierarchical,044aa002dd4dfd20,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs
hierarchical,097d4e7bc5c12639,Exec/CanonicalFlows/DensityCurrent,Exec/CanonicalFlows/DensityCurrent/inputs_fft
hierarchical,0a50784987204f69,Exec/ABL,Exec/ABL/inputs_smagorinsky_msf
hierarchical,100a3848527bbcf1,Exec/DevTests/WindFarmTests/SingleTurbine/Fitch,Exec/DevTests/WindFarmTests/SingleTurbine/Fitch/inputs_1WT_x_y_Fitch
hierarchical,16cafaa8bd6cb4c7,Exec/DevTests/Hurricane,Exec/DevTests/Hurricane/inputs_20210819_Henri_NoAMR
hierarchical,1d6f3de1dc69721c,Exec/RegTests/Terrain3d_Hemisphere,Exec/RegTests/Terrain3d_Hemisphere/inputs_EB_twolevel
hierarchical,2b0066345c5861a3,Exec/RegTests/ScalarAdvDiff,Exec/RegTests/ScalarAdvDiff/inputs_diffuse_sine
